id,category,city,state,fetched_at
1640,beauty salon,st louis park,Minnesota,2024-12-15 19:39:09.369851+00
1641,construction company,st louis park,Minnesota,2024-12-15 19:39:35.736821+00
1642,dental clinic,st louis park,Minnesota,2024-12-15 19:39:57.539163+00
1643,dollar store,st louis park,Minnesota,2024-12-15 19:40:16.736229+00
1644,family law attorney,st louis park,Minnesota,2024-12-15 19:40:41.921223+00
1645,fitness center,st louis park,Minnesota,2024-12-15 19:41:02.177521+00
1646,funeral home,st louis park,Minnesota,2024-12-15 19:41:22.72417+00
1647,general practice attorney,st louis park,Minnesota,2024-12-15 19:41:45.603187+00
1648,gutter cleaning service,st louis park,Minnesota,2024-12-15 19:42:04.846687+00
1649,hairdresser,st louis park,Minnesota,2024-12-15 19:42:19.252196+00
1650,insurance company,st louis park,Minnesota,2024-12-15 19:42:44.799171+00
1651,law firm,st louis park,Minnesota,2024-12-15 19:43:00.742409+00
1652,liquor store,st louis park,Minnesota,2024-12-15 19:43:16.902889+00
1653,mechanic,st louis park,Minnesota,2024-12-15 19:43:32.984198+00
1654,supermarket,st louis park,Minnesota,2024-12-15 19:43:59.465918+00
1655,tire shop,st louis park,Minnesota,2024-12-15 19:44:24.744014+00
1656,wedding venue,st louis park,Minnesota,2024-12-15 19:44:43.372148+00
1657,window cleaning service,st louis park,Minnesota,2024-12-15 19:44:58.536524+00
